title_supplier,artist,title_norm,author_norm,title_ref,author,author_norm_supplier,author_norm_ref,provider,file
Talvez,Lukinhas,talvez,,TALVEZ,T-039.758.808-7,lukinhas,t-039.758.808-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Lukinhas,talvez,,TALVEZ,T-040.081.810-1,lukinhas,t-040.081.810-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Utopia,Lukinhas,utopia,,UTOPIA,T-040.522.248-1,lukinhas,t-040.522.248-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Utopia,Lukinhas,utopia,,UTOPIA,T-329.283.611-0,lukinhas,t-329.283.611-0,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Tentação,Drik Barbosa,tentacao,,TENTAÇÃO,T-322.163.164-3,drik barbosa,t-322.163.164-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Te Amo,Morenna,te amo,,TE AMO,,morenna,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Oi,Sd9,oi,,OI,,sd9,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Fica,Lukinhas,fica,,FICA,,lukinhas,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sinais,Lukinhas,sinais,,SINAIS,T-039.662.232-4,lukinhas,t-039.662.232-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Lukinhas,talvez,,TALVEZ,T-039.758.808-7,lukinhas,t-039.758.808-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Lukinhas,talvez,,TALVEZ,T-040.081.810-1,lukinhas,t-040.081.810-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Utopia,Lukinhas,utopia,,UTOPIA,T-040.522.248-1,lukinhas,t-040.522.248-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Utopia,Lukinhas,utopia,,UTOPIA,T-329.283.611-0,lukinhas,t-329.283.611-0,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Salve,Tasha & Tracie,salve,,SALVE,T-040.396.795-2,tasha & tracie,t-040.396.795-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Salve,Tasha & Tracie,salve,,SALVE,,tasha & tracie,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Salve,Tasha & Tracie,salve,,SALVE,T-316.303.285-3,tasha & tracie,t-316.303.285-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Morena,Vitor Kley,morena,,MORENA,,vitor kley,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Morena,Vitor Kley,morena,,MORENA,T-312.550.698-7,vitor kley,t-312.550.698-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Salve,Tasha & Tracie,salve,,SALVE,T-040.396.795-2,tasha & tracie,t-040.396.795-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Salve,Tasha & Tracie,salve,,SALVE,,tasha & tracie,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Salve,Tasha & Tracie,salve,,SALVE,T-316.303.285-3,tasha & tracie,t-316.303.285-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Eu Te Avisei,Mc Cabelinho,eu te avisei,,EU TE AVISEI,,mc cabelinho,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Morena,Vitor Kley,morena,,MORENA,,vitor kley,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Morena,Vitor Kley,morena,,MORENA,T-312.550.698-7,vitor kley,t-312.550.698-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Agora,Antonia Morais,agora,,AGORA,T-040.285.611-4,antonia morais,t-040.285.611-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Eu Te Avisei,Mc Cabelinho,eu te avisei,,EU TE AVISEI,,mc cabelinho,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Armadilha,Juliana Linhares,armadilha,,ARMADILHA,,juliana linhares,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Agora,Antonia Morais,agora,,AGORA,T-040.285.611-4,antonia morais,t-040.285.611-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Armadilha,Juliana Linhares,armadilha,,ARMADILHA,,juliana linhares,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Agora,Antonia Morais,agora,,AGORA,T-040.285.611-4,antonia morais,t-040.285.611-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Salve,Tasha & Tracie,salve,,SALVE,T-040.396.795-2,tasha & tracie,t-040.396.795-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Salve,Tasha & Tracie,salve,,SALVE,,tasha & tracie,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Salve,Tasha & Tracie,salve,,SALVE,T-316.303.285-3,tasha & tracie,t-316.303.285-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Eu Te Avisei,Mc Cabelinho,eu te avisei,,EU TE AVISEI,,mc cabelinho,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Armadilha,Juliana Linhares,armadilha,,ARMADILHA,,juliana linhares,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Morena,Vitor Kley,morena,,MORENA,,vitor kley,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
